ID,Category,skills_str,skill_count
16852973,HR,"accounting, budgeting, customer service, data analysis, employee relations, hr, leadership, marketing, medical, payroll, sales, statistics, swift, training",14
22323967,HR,"communication, hr, illustrator, indesign, marketing, photoshop, project management, recruitment, sales, training",10
33176873,HR,"compliance, customer service, excel, hr, hris, leadership, marketing, nursing, payroll, performance management, project management, quality control, recruitment, strategic planning, training",15
27018550,HR,"communication, customer service, excel, hr, medical, payroll, training",7
17812897,HR,"compliance, employee relations, excel, hr, hris, leadership, payroll, performance management, problem solving, project management, recruitment, training",12
11592605,HR,"business development, excel, hr, performance management, recruitment, strategic planning, training",7
25824789,HR,"compliance, customer service, employee relations, hr, hris, indesign, leadership, performance management, project management, training",10
15375009,HR,"communication, compliance, customer service, employee relations, hr, medical, payroll, project management, recruitment, training",10
11847784,HR,"civil, communication, customer service, excel, hr, leadership, mechanical, medical, negotiation, performance management, project management, recruitment, training",13
32896934,HR,"accounting, employee relations, hr, onboarding, payroll, performance management, r, recruitment, training",9
29149998,HR,"accounting, communication, customer service, electrical, employee relations, hr, leadership, medical, oracle, payroll, quickbooks, recruitment, training",13
11480899,HR,"communication, compliance, employee relations, hr, leadership, payroll, performance management, problem solving, recruitment, tax, training",11
23155093,HR,"communication, compliance, customer service, excel, hr, leadership, problem solving, project management, sales, training",10
11763983,HR,"communication, compliance, erp, excel, hr, hris, medical, onboarding, payroll, recruitment, training",11
27490876,HR,"compliance, employee relations, hr, hris, leadership, performance management, recruitment, training",8
32977530,HR,"accounting, auditing, communication, compliance, customer service, erp, excel, hr, onboarding, quickbooks, sales, sap, training",13
93002334,HR,"communication, customer service, employee relations, excel, hr, risk management, sales, sap, training",9
24184357,HR,"accounting, communication, compliance, employee relations, excel, hr, hris, leadership, marketing, payroll, performance management, problem solving, quickbooks, recruitment, statistics, training",16
73077810,HR,"clinical, compliance, customer service, employee relations, hr, hris, onboarding, payroll, performance management, quickbooks, recruitment, sales, training",13
13879043,HR,"compliance, data analysis, employee relations, hr, leadership, medical, payroll, performance management, recruitment, sap, training",11
30163002,HR,"business development, customer service, employee relations, excel, hr, onboarding, payroll, sales",8
18827609,HR,"communication, compliance, employee relations, excel, hr, hris, investment, leadership, marketing, onboarding, project management, recruitment, talent acquisition, training",14
25676643,HR,"compliance, customer service, excel, hr, leadership, marketing, onboarding, performance management, project management, recruitment, training",11
12786012,HR,"communication, compliance, employee relations, excel, hr, hris, onboarding, payroll, performance management, recruitment, sales, training",12
87968870,HR,"compliance, employee relations, hr, hris, payroll, performance management, recruitment, training",8
46258701,HR,"compliance, excel, hr, sap",4
14225422,HR,"compliance, employee relations, excel, hr, hris, medical, payroll, recruitment, training",9
29297973,HR,"communication, customer service, employee relations, hr, medical, payroll, recruitment, training",8
18334783,HR,"business development, communication, customer service, employee relations, hr, leadership, payroll, project management, sales, spring, training",11
19717385,HR,"communication, diagnosis, excel, hr, sales, training",6
49937469,HR,"communication, compliance, customer service, employee relations, excel, hr, leadership, payroll, sales, training",10
18316239,HR,"compliance, employee relations, excel, hr, hris, onboarding, performance management, project management, recruitment, sales, training",11
17855844,HR,"compliance, employee relations, excel, hr, hris, illustrator, leadership, oracle, performance management, recruitment, sales, sap, strategic planning, training",14
57667857,HR,"banking, compliance, employee relations, hr, payroll, performance management, recruitment, training",8
17422560,HR,"communication, compliance, customer service, employee relations, excel, hr, payroll, sales, tax",9
32947778,HR,"compliance, employee relations, hr, hris, leadership, marketing, medical, payroll, project management, recruitment, sales, training",12
23914451,HR,"compliance, customer service, employee relations, hr, hris, leadership, marketing, performance management, problem solving, project management, sales, strategic planning, training",13
21265194,HR,"civil, employee relations, hr, leadership, performance management, project management, training",7
51769822,HR,"accounting, communication, customer service, employee relations, excel, hr, marketing, payroll, problem solving, sales, training",11
19616406,HR,"communication, compliance, employee relations, hr, hris, marketing, onboarding, payroll, sales, training",10
41523474,HR,"banking, communication, excel, hr, recruitment, sales, training",7
59962788,HR,"communication, compliance, hr, java, onboarding, payroll, project management, recruitment, sap, sql, training",11
86184722,HR,"auditing, communication, compliance, customer service, employee relations, hr, hris, oracle, payroll, performance management, recruitment, sap, training",13
28419173,HR,"accounting, communication, electrical, excel, hr, marketing, onboarding, problem solving, quickbooks, recruitment, sales, tax, training",13
18155310,HR,"accounting, communication, compliance, customer service, excel, forecasting, hr, payroll, performance management, sales, training",11
26780935,HR,"auditing, business development, communication, compliance, hr, hris, leadership, payroll, problem solving, project management, sales, training",12
34554248,HR,"accounting, budgeting, employee relations, excel, hr, hris, leadership, marketing, onboarding, payroll, recruitment, sales, training",13
26202430,HR,"analytics, auditing, communication, compliance, data analysis, erp, excel, hr, hris, payroll, problem solving, project management, sap, training",14
19867922,HR,"compliance, data analysis, employee relations, hr, hris, leadership, onboarding, payroll, training",9
91930382,HR,"analytics, employee relations, github, hr, negotiation, recruitment, talent acquisition, training",8
30646367,HR,"compliance, excel, hr, hris, medical, payroll, quickbooks, sales, sap, tax, training",11
39650734,HR,"accounting, banking, communication, customer service, employee relations, excel, hr, hris, marketing, payroll, performance management, recruitment, sales, training",14
72231872,HR,"budgeting, communication, compliance, customer service, employee relations, excel, hr, hris, leadership, marketing, onboarding, payroll, recruitment, tableau, tax, training",16
13520837,HR,"communication, customer service, employee relations, hr, hris, leadership, onboarding, payroll, problem solving, recruitment, sales, talent acquisition, training",13
18422164,HR,"communication, customer service, employee relations, hr, payroll, recruitment, training",7
30862904,HR,"analytics, communication, compliance, employee relations, hr, leadership, marketing, medical, negotiation, onboarding, payroll, performance management, project management, recruitment, sales, talent acquisition, training",17
52979663,HR,"auditing, hr, hris, leadership, medical, negotiation, payroll, performance management, problem solving, sales, training",11
28828844,HR,"communication, compliance, customer service, employee relations, excel, hr, leadership, medical, payroll, performance management, talent acquisition, training",12
21830565,HR,"compliance, employee relations, hr, leadership, medical, oracle, payroll, performance management, pharmacology, training",10
27523575,HR,"communication, customer service, employee relations, hr, leadership, problem solving, sales, training",8
39081840,HR,"communication, compliance, employee relations, excel, hr, hris, leadership, medical, onboarding, payroll, performance management, project management, training",13
20925036,HR,"banking, communication, excel, hr, leadership, medical, payroll, recruitment, sales, sap, talent acquisition, training",12
15576950,HR,"communication, compliance, customer service, hr, onboarding, recruitment, sap, training",8
29564653,HR,"communication, excel, hr, illustrator, indesign, onboarding, photoshop, sap, training",9
14886205,HR,"diagnosis, employee relations, excel, hr, leadership, onboarding, payroll, performance management, quickbooks, sales, spring, statistics, talent acquisition, tax, training",15
17412079,HR,"compliance, data analysis, employee relations, excel, hr, hris, leadership, medical, payroll, performance management, recruitment, sap, training",13
16861758,HR,"clinical, compliance, customer service, hr, medical, nursing, payroll, training",8
93112113,HR,"communication, compliance, employee relations, hr, hris, medical, payroll, performance management, recruitment, training",10
15041689,HR,"compliance, employee relations, hipaa, hr, hris, medical, onboarding, payroll, performance management, recruitment, training",11
80162314,HR,"banking, communication, employee relations, hr, investment, payroll, performance management, project management, recruitment, sales, training",11
20993320,HR,"communication, customer service, hr, hris, leadership, payroll, problem solving, r, sales, training",10
14640322,HR,"communication, excel, hr, medical, onboarding, payroll, recruitment, talent acquisition",8
26289308,HR,"communication, compliance, employee relations, hr, marketing, payroll, performance management, recruitment, tax, training",10
23408537,HR,"accounting, auditing, budgeting, compliance, excel, hr, hris, nursing, payroll, performance management, project management, quickbooks, recruitment, sap, training",15
28808263,HR,"accounting, banking, communication, customer service, excel, hr, leadership, marketing, payroll, problem solving, sales, training",12
18084150,HR,"compliance, employee relations, excel, hr, hris, leadership, medical, oracle, payroll, quickbooks, recruitment, training",12
26671167,HR,"accounting, communication, customer service, hr, marketing, nursing",6
44476983,HR,"accounting, communication, compliance, employee relations, excel, hr, hris, leadership, marketing, medical, oracle, payroll, performance management, recruitment, talent acquisition, training",16
16877897,HR,"communication, compliance, css, excel, hr, html, javascript, medical, payroll, performance management, problem solving, r, recruitment, sap, sql, training",16
29091445,HR,"employee relations, excel, hr, medical, payroll, recruitment, sap, tax, training",9
25724495,HR,"banking, communication, electrical, employee relations, excel, forecasting, hr, hris, leadership, negotiation, onboarding, payroll, performance management, recruitment, training",15
24508725,HR,"communication, compliance, employee relations, excel, hr, hris, leadership, payroll, recruitment, strategic planning, tax, training",12
11698189,HR,"accounting, customer service, employee relations, excel, hr, leadership, marketing, payroll, performance management, training",10
27165830,HR,"communication, compliance, customer service, employee relations, excel, hr, leadership, payroll, sales, training",10
47470864,HR,"banking, communication, compliance, customer service, employee relations, hr, medical, payroll, tax, training",10
34740556,HR,"compliance, employee relations, excel, hr, onboarding, recruitment, training",7
18557164,HR,"banking, communication, compliance, customer service, excel, hr, leadership, marketing, nursing, performance management, project management, sales, swift, talent acquisition, training",15
19179079,HR,"accounting, communication, compliance, crm, customer service, excel, hr, hris, leadership, marketing, medical, negotiation, onboarding, payroll, recruitment, sales, statistics, talent acquisition, training",19
13376919,HR,"banking, excel, hr, marketing, oracle, performance management, recruitment, sales, talent acquisition, training",10
26048718,HR,"business development, clinical, communication, compliance, customer service, employee relations, excel, forecasting, hipaa, hr, hris, leadership, marketing, nursing, patient care, project management, recruitment, risk management, sales, statistics, talent acquisition, training",22
17150707,HR,"compliance, employee relations, hr, hris, payroll, project management, sap, training",8
18297650,HR,"accounting, communication, hr, java, linux, mechanical, medical, oracle, payroll, recruitment, sap, sql, talent acquisition, training, unix",15
23510685,HR,"compliance, data analysis, excel, hr, hris, leadership, performance management, project management, r, recruitment, sales, sap, training",13
39970711,HR,"communication, employee relations, hr, hris, medical, performance management, project management, recruitment, risk management, strategic planning, training",11
20806155,HR,"communication, compliance, excel, hr, project management, quality control, recruitment, sap, training",9
28640735,HR,"analytics, employee relations, hr, leadership, payroll, performance management, project management, recruitment, talent acquisition, training",10
15575117,HR,"customer service, excel, hr, marketing, medical, tax, training",7
27496514,HR,"accounting, communication, compliance, customer service, data analysis, excel, hr, marketing, medical, payroll, sap, training",12
14256329,HR,"communication, customer service, excel, hr, leadership, payroll, recruitment, sales",8
19336728,HR,"communication, customer service, excel, hr, leadership, training",6
10694288,HR,"hr, hris, leadership, payroll, training",5
28175164,HR,"compliance, hr, hris, leadership, payroll, performance management, project management, recruitment, sap, training",10
10399912,HR,"auditing, customer service, excel, hr, sales",5
20417897,HR,"excel, hr, oracle, payroll, quality control, sap, tax, training",8
18731098,HR,"accounting, civil, communication, compliance, customer service, employee relations, excel, hr, hris, medical, payroll, project management, sap, tax, training",15
30563572,HR,"communication, compliance, employee relations, excel, hr, hris, leadership, marketing, oracle, performance management, recruitment, talent acquisition, training",13
24402267,HR,"compliance, employee relations, excel, hr, hris, payroll, performance management, recruitment, training",9
32308556,HR,"accounting, budgeting, communication, employee relations, hr, leadership, marketing, performance management, project management, risk management",10
27847081,HR,"analytics, communication, compliance, customer service, data analysis, employee relations, excel, hr, payroll, performance management, problem solving, project management, recruitment, sap, training",15
25150191,HR,"communication, compliance, customer service, hr, leadership, payroll, recruitment, sales, training",9
37058472,DESIGNER,"autocad, cad, communication, compliance, photoshop, quality control, r, sales",8
68240723,DESIGNER,"communication, illustrator, leadership, oracle, sales",5
76010167,DESIGNER,"communication, excel, leadership",3
19164410,DESIGNER,"communication, excel, illustrator, photoshop, sales, sketch",6
29147100,DESIGNER,"html, illustrator, indesign, leadership, photoshop",5
25061645,DESIGNER,"css, html, illustrator, indesign, marketing, photoshop",6
11919526,DESIGNER,"compliance, excel, html, javascript, leadership, oracle, r, sap, sql, training, unix",11
81011612,DESIGNER,"customer service, data analysis, html, illustrator, payroll, photoshop, sales, sql",8
11722421,DESIGNER,"cad, hr, illustrator, photoshop",4
13774329,DESIGNER,"budgeting, customer service, mechanical, project management, quality control, r, training",7
35990852,DESIGNER,"accounting, agile, auditing, compliance, html, javascript, jquery, medical, mysql, photoshop, php, rest, sales, scrum, sql, training",16
36269672,DESIGNER,"banking, communication, customer service, leadership, problem solving, r, sales, training",8
90066849,DESIGNER,"clinical, communication, nursing, patient care, training",5
27529455,DESIGNER,"clinical, compliance, customer service, excel, indesign, leadership, medical, photoshop, project management, sales, training",11
85101052,DESIGNER,"agile, bootstrap, git, investment, java, jquery, mysql, oracle, project management, spring, sql, training",12
22567495,DESIGNER,"accounting, payroll, sales, tax, training",5
10751444,DESIGNER,"autocad, cad, cam, data analysis, electrical, linux, matlab, mechanical, problem solving, python, simulation, solidworks, spring, statistics, structural, training",16
11807040,DESIGNER,"banking, clinical, communication, compliance, customer service, hipaa, medical, nursing, patient care, quality control, sales, training",12
12415691,DESIGNER,"banking, bash, css, erp, java, leadership, linux, mysql, oracle, perl, php, problem solving, project management, python, shell, sql, unix",17
38565119,DESIGNER,"autocad, communication, leadership, sales",4
21705160,DESIGNER,"sales, spring",2
26496059,DESIGNER,"communication, compliance, css, electrical, excel, html, illustrator, indesign, marketing, negotiation, photoshop, quality control, sales, training",14
29524570,DESIGNER,"api, clinical, data analysis, excel, html, oracle, simulation, sql, training",9
15936656,DESIGNER,,0
13557622,DESIGNER,"photoshop, sales, training",3
41506705,DESIGNER,"autocad, cad, communication, leadership, linux, mechanical, project management, prototyping, sales, solidworks, training",11
32954522,DESIGNER,"customer service, sales",2
44185767,DESIGNER,"agile, business development, communication, erp, leadership, project management, sales, sap, training",9
14014749,DESIGNER,"customer service, illustrator, indesign, photoshop, sales, training",6
34349255,DESIGNER,"communication, sales",2
16288901,DESIGNER,"autocad, communication, indesign, photoshop",4
25422388,DESIGNER,"big data, communication, compliance, css, html, illustrator, indesign, leadership, marketing, photoshop",10
22496394,DESIGNER,"autocad, cad, civil, customer service, leadership, marketing, payroll, problem solving, sales",9
38744475,DESIGNER,"autocad, communication, marketing, sales",4
67582956,DESIGNER,"autocad, cad, civil, communication, excel, project management, quality control, sales, structural, training",10
26676567,DESIGNER,"cad, communication, css, customer service, html, illustrator, indesign, leadership, linux, marketing, photoshop, problem solving, recruitment",13
14724186,DESIGNER,"communication, customer service, leadership, photoshop, sales, structural, training",7
10748989,DESIGNER,"autocad, civil, electrical, indesign, leadership, mechanical, problem solving, project management",8
26924514,DESIGNER,"budgeting, communication, compliance, customer service, excel, leadership, project management, sales, training",9
12674307,DESIGNER,"communication, customer service, excel, sales, training",5
23951429,DESIGNER,"big data, communication, compliance, customer service, excel, leadership, marketing, problem solving, project management, training",10
26046064,DESIGNER,"css, excel, html, illustrator, indesign, marketing, photoshop",7
28326441,DESIGNER,"autocad, illustrator, indesign, marketing, photoshop, project management, sales",7
78149576,DESIGNER,"customer service, spring, training",3
17555081,DESIGNER,"clinical, communication, compliance, data analysis, excel, leadership, marketing, medical, payroll, project management, recruitment, training",12
39776400,DESIGNER,"autocad, aws, cad, mechanical, negotiation, sap, solidworks, structural",8
37263609,DESIGNER,"autocad, leadership, structural",3
13518263,DESIGNER,,0
11155153,DESIGNER,"autocad, cam, communication, compliance, customer service, excel, leadership, mechanical, sales, solidworks, structural, training",12
54201930,DESIGNER,"illustrator, indesign, marketing, photoshop, sales",5
10466583,DESIGNER,"banking, customer service, medical",3
26790545,DESIGNER,"crm, css, customer service, hr, html, illustrator, jquery, marketing, photoshop, prototyping, sales, training",12
11958994,DESIGNER,"communication, compliance, customer service, excel, marketing, sales, training",7
30968749,DESIGNER,"autocad, cad, communication, compliance, excel, leadership, matlab, mechanical, photoshop, project management, sales, simulation, solidworks, sql, training",15
